1x12:022 0.0061 0.7824 0.0296
1x12:016 0.0629 -0.6145 0.0065
1x12:013 0.0009 -0.3602 0.0742
1x12:018 0.0597 0.2923 0.013
1x12:019 0.0597 0.7585 -0.0244
1x12:012 -0.0031 -0.8095 0.0738
1x12:015 -0.0096 0.5304 0.0751
1x12:01f -0.0585 -0.1508 -0.0005
1x12:011 0.0136 -0.8423 0.0137
1x12:023 -0.058 0.5723 -0.0088
1x12:01e -0.0569 -0.5939 0.0131
1x12:014 -0.0058 0.0865 0.075
1x12:021 -0.0597 0.3022 -0.0009
1x12:017 0.061 -0.1542 0.0118
25h7:02 0.1904 -0.9439 -0.0746
25h7:03 0.1881 0.0561 -0.0758
25h7:04 0.2025 0.9159 -0.0746
25h7:01 -0.1863 -0.9439 -0.0746
1x12:01c -0.0013 -0.354 -0.0753
1x12:01d -0.0017 -0.7938 -0.0763
1x12:01b -0.0151 0.0843 -0.0746
1x12:01a 0.0061 0.5213 -0.0734
